,playerId,squadId,firstName,lastName,displayName,position,price,gameWeekPoints,averagePoints,last3Average,bonusPoints,totalPoints,percentSelected,form,goals,assists,minutesPlayed,shotsOnTarget,chancesCreated,tackles,cleanSheet,saves,goalsConceded,yellowCards,redCards,ownGoals,penaltyMisses,penaltySaves,bonusPpm,dribbles,crosses,offsides,passCompletionRate,interceptions,blocks,foulsWon,foulsMade,goalsOutsideArea,errorsLeadingToGoal,averagePoints_per_price,totalPoints_per_price
262,620582,453,Jason,Parente,J. Parente,MID,4.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
263,621219,210,Loun,Srdanovic,L. Srdanovic,DEF,4.5,,1.0,0,0,2,0,,0,0,12,0,0,1,0,,2,0,0,0,0,0,8,1,0,0,78,0,0,1,2,0,0,0.2222222222222222,0.4444444444444444
264,621362,1269,Ruben,Fernandes,R. Fernandes,DEF,4.5,,2.1,0,2,23,0,,0,1,676,2,0,12,1,,11,0,0,0,0,0,164,6,11,1,73,10,1,5,6,0,0,0.4666666666666667,5.111111111111111
265,622645,1748,Lucien,Dähler,L. Dähler,DEF,4.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
266,622647,1748,Valmir,Matoshi,V. Matoshi,MID,5.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
267,622748,1963,Zachary,Athekame,Z. Athekame,DEF,5.0,,2.1,0,7,64,0,,0,2,1761,3,6,51,4,,21,6,0,0,0,0,451,11,27,0,71,33,13,21,31,0,0,0.42000000000000004,12.8
268,622753,1414,Islem,Chouik,I. Chouik,MID,4.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
269,624207,210,Tiemoko,Ouattara,T. Ouattara,FWD,5.0,,1.3,0,0,28,0,,1,1,585,10,0,18,0,,0,3,0,0,0,0,111,15,2,2,65,4,1,8,12,0,0,0.26,5.6
270,624232,490,Seydou,Traore,S. Traore,FWD,4.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
271,624262,3573,Loïc,Lüthi,L. Lüthi,DEF,6.0,,3.5,0,13,92,0,,2,0,2340,8,0,33,10,,43,3,0,2,0,0,619,6,0,0,84,32,21,20,14,0,0,0.5833333333333334,15.333333333333334
